Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Fraction 11	Fraction 12	Fraction 13	Fraction 14	Fraction 15	Fraction 16	Fraction 17	Fraction 18	Q-value	Score	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity not corrected 0	Reporter intensity not corrected 1	Reporter intensity not corrected 2	Reporter intensity not corrected 3	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Intensity	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q13887	Q13887	1	1	1	Krueppel-like factor 5	KLF5	>sp|Q13887|KLF5_HUMAN Krueppel-like factor 5 OS=Homo sapiens GN=KLF5 PE=1 SV=2	1	1	1	1	2.4	2.4	2.4	50.791	457	457	12												1							0	4.9875	6717.2	5769.5	3782.4	5651.4	6717.2	5769.5	3782.4	5651.4	1	1	1	1	41864000	1				2406	4258	True	4460	6848	7035	7035		
Q13889	Q13889	2	2	2	General transcription factor IIH subunit 3	GTF2H3	>sp|Q13889|TF2H3_HUMAN General transcription factor IIH subunit 3 OS=Homo sapiens GN=GTF2H3 PE=1 SV=2	1	2	2	2	10.4	10.4	10.4	34.378	308	308	7.5						1			1										0	5.7741	0	0	0	0	0	0	0	0	0	0	0	0	49105000	2				2407	19443;20272	True;True	20306;21156	31575;32865	32421;33743	32421;33743		
Q13895	Q13895	3	3	3	Bystin	BYSL	>sp|Q13895|BYST_HUMAN Bystin OS=Homo sapiens GN=BYSL PE=1 SV=3	1	3	3	3	6.6	6.6	6.6	49.601	437	437	12.5									1			1		1	1				0	6.1124	12598	11918	5450.5	6095.8	12598	11918	5450.5	6095.8	3	3	3	3	364830000	4				2408	6514;22485;33636	True;True;True	6806;23468;35362	10494;10495;36336;54284	10790;10791;37292;55686	10791;37292;55686		
Q13901	Q13901	3	3	3	Nuclear nucleic acid-binding protein C1D	C1D	>sp|Q13901|C1D_HUMAN Nuclear nucleic acid-binding protein C1D OS=Homo sapiens GN=C1D PE=1 SV=1	1	3	3	3	17.7	17.7	17.7	16.019	141	141	12							1			1	1					2			0	5.3734	7321.1	5254.5	5385.1	7714.6	7321.1	5254.5	5385.1	7714.6	2	2	2	2	470040000	5				2409	7299;19675;36384	True;True;True	7625;20545;38262	11799;11800;31943;31944;58785	12118;12119;32798;32799;60328	12119;32799;60328		
Q13907;Q9BXS1	Q13907	9;1	9;1	9;1	Isopentenyl-diphosphate Delta-isomerase 1	IDI1	>sp|Q13907|IDI1_HUMAN Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens GN=IDI1 PE=1 SV=2	2	9	9	9	36.6	36.6	36.6	26.319	227	227;227	9.43		1		2				1	1	2	5	1						1	0	73.966	45083	57864	72769	74083	45083	57864	72769	74083	10	10	10	10	2824400000	14				2410	778;1005;18386;18443;24919;26468;32431;32432;38518	True;True;True;True;True;True;True;True;True	807;1043;19213;19272;26233;27865;34087;34088;40494	1262;1594;1595;1596;29966;29967;30045;40538;40539;43056;52180;52181;52182;62217	1299;1634;1635;1636;30792;30793;30871;41587;41588;44176;53502;53503;53504;63854	1299;1634;30792;30871;41587;44176;53502;53504;63854		
Q13951	Q13951	2	2	2	Core-binding factor subunit beta	CBFB	>sp|Q13951|PEBB_HUMAN Core-binding factor subunit beta OS=Homo sapiens GN=CBFB PE=1 SV=2	1	2	2	2	12.6	12.6	12.6	21.508	182	182	3	1			2															0	8.7652	11713	15337	14596	17247	11713	15337	14596	17247	2	2	2	2	156550000	3				2411	19590;37513	True;True	20455;39451	31797;60590;60591	32649;62169;62170	32649;62169		
Q13952	Q13952	4	4	4	Nuclear transcription factor Y subunit gamma	NFYC	>sp|Q13952|NFYC_HUMAN Nuclear transcription factor Y subunit gamma OS=Homo sapiens GN=NFYC PE=1 SV=3	1	4	4	4	8.3	8.3	8.3	50.302	458	458	10.6					2	1						2					2		0	18.161	19369	20718	27471	32290	19369	20718	27471	32290	2	2	2	2	513620000	7				2412	3806;24101;24965;37262	True;True;True;True	3981;25232;26279;39187	6167;6168;38993;38994;38995;40619;60207	6352;6353;40000;40001;40002;41679;61786	6352;40002;41679;61786		
Q14002	Q14002	1	1	1	Carcinoembryonic antigen-related cell adhesion molecule 7	CEACAM7	>sp|Q14002|CEAM7_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 7 OS=Homo sapiens GN=CEACAM7 PE=1 SV=1	1	1	1	1	3.4	3.4	3.4	29.379	265	265	6						1													0.00095914	2.272	0	0	0	0	0	0	0	0	0	0	0	0	18298000	1				2413	33943	True	35683	54777	56191	56191		
Q14004	Q14004	6	5	4	Cyclin-dependent kinase 13	CDK13	>sp|Q14004|CDK13_HUMAN Cyclin-dependent kinase 13 OS=Homo sapiens GN=CDK13 PE=1 SV=2	1	6	5	4	4.3	3.8	2.8	164.92	1512	1512	8		1			1		1	1										1	0	10.533	13959	9831.4	10637	11242	13959	9831.4	10637	11242	1	1	1	1	130100000	5				2414	19137;19653;31862;33612;33613;34073	False;True;True;True;True;True	19983;20523;33496;35335;35336;35827	31042;31043;31910;51357;54240;54241;54982	31878;31879;32765;52651;55640;55641;56401	31878;32765;52651;55640;55641;56401		
Q14008	Q14008	30	30	30	Cytoskeleton-associated protein 5	CKAP5	>sp|Q14008|CKAP5_HUMAN Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 PE=1 SV=3	1	30	30	30	17.1	17.1	17.1	225.49	2032	2032	9.68	4	1	2	2	3		2		8	3	1	1	2	5	6	3		1	0	149.96	126700	129690	148990	170090	126700	129690	148990	170090	27	27	27	27	3362200000	44				2415	1169;2855;3385;3663;4248;4640;4962;5777;6926;7126;7127;7347;9375;10164;11039;12403;12492;14610;19542;19753;20769;23947;24469;27038;28481;32599;32939;34584;35647;39339	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1216;2985;3540;3827;4449;4853;5187;6043;7232;7438;7439;7674;9788;10613;11530;12961;13050;15260;20407;20626;21677;25034;25694;25695;28456;29959;34264;34624;36364;37485;41347	1904;4644;5493;5928;5929;6829;6830;7464;7974;9285;9286;11160;11161;11476;11477;11877;15027;16289;16290;17700;19972;20094;23762;31721;31722;32070;33697;38649;38650;39683;39684;39685;43950;43951;43952;43953;46081;46082;52464;53053;55754;57515;63555;63556	1978;4782;5664;6112;6113;7016;7017;7681;8203;9559;9560;11464;11465;11792;11793;12208;15429;16731;16732;18183;20511;20633;24423;32569;32570;32926;34587;39649;39650;40699;40700;40701;45084;45085;45086;45087;47236;47237;53808;54412;57182;59016;65232;65233	1978;4782;5664;6113;7017;7681;8203;9559;11464;11792;11793;12208;15429;16732;18183;20511;20633;24423;32570;32926;34587;39650;40701;45085;47237;53808;54412;57182;59016;65232	1676	812
Q14011	Q14011	6	6	6	Cold-inducible RNA-binding protein	CIRBP	>sp|Q14011|CIRBP_HUMAN Cold-inducible RNA-binding protein OS=Homo sapiens GN=CIRBP PE=1 SV=1	1	6	6	6	30.2	30.2	30.2	18.648	172	172	9			2			1						1	3						0	40.164	13945	13246	14313	14169	13945	13246	14313	14169	3	3	3	3	738810000	7				2416	11749;13827;30344;31839;38874;38875	True;True;True;True;True;True	12272;14435;31894;33472;40865;40866	18849;22230;48917;51315;62794;62795;62796	19365;22826;50113;52607;64442;64443;64444	19365;22826;50113;52607;64442;64444		
Q14012;Q8IU85	Q14012;Q8IU85	2;1	2;1	2;1	Calcium/calmodulin-dependent protein kinase type 1;Calcium/calmodulin-dependent protein kinase type 1D	CAMK1;CAMK1D	>sp|Q14012|KCC1A_HUMAN Calcium/calmodulin-dependent protein kinase type 1 OS=Homo sapiens GN=CAMK1 PE=1 SV=1;>sp|Q8IU85|KCC1D_HUMAN Calcium/calmodulin-dependent protein kinase type 1D OS=Homo sapiens GN=CAMK1D PE=1 SV=1	2	2	2	2	5.4	5.4	5.4	41.337	370	370;385	12								1								1			0	8.6188	0	0	0	0	0	0	0	0	0	0	0	0	38446000	2				2417	16218;20754	True;True	16945;21662	26519;33676	27271;34566	27271;34566		
Q14019	Q14019	10	10	10	Coactosin-like protein	COTL1	>sp|Q14019|COTL1_HUMAN Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3	1	10	10	10	62.7	62.7	62.7	15.945	142	142	9.9		1					1		3	3						1	1		0	25.589	34839	61029	64798	59870	34839	61029	64798	59870	9	9	9	9	4117100000	10				2418	449;7018;7019;7835;9346;10924;10925;17251;33285;38646	True;True;True;True;True;True;True;True;True;True	466;7328;7329;8179;9759;11408;11409;18034;34990;40628	718;11312;11313;12640;14985;17516;17517;28265;53628;62432	740;11619;11620;13006;15386;17997;17998;29067;55000;64074	740;11619;11620;13006;15386;17997;17998;29067;55000;64074	1677	70
Q14050	Q14050	2	2	2	Collagen alpha-3(IX) chain	COL9A3	>sp|Q14050|CO9A3_HUMAN Collagen alpha-3(IX) chain OS=Homo sapiens GN=COL9A3 PE=1 SV=2	1	2	2	2	2.3	2.3	2.3	63.615	684	684	11								1						1					0.00095621	2.235	0	0	0	0	0	0	0	0	0	0	0	0	33455000	2				2419	12870;25146	True;True	13450;26467	20739;40915	21290;41981	21290;41981		
Q14061	Q14061	1	1	1	Cytochrome c oxidase copper chaperone	COX17	>sp|Q14061|COX17_HUMAN Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=1 SV=2	1	1	1	1	25.4	25.4	25.4	6.9151	63	63	9									1										0	4.1779	4106.2	3492	3184.6	3795.8	4106.2	3492	3184.6	3795.8	1	1	1	1	247130000	1				2420	26613	True	28012	43281	44403	44403		
Q14103	Q14103	22	22	20	Heterogeneous nuclear ribonucleoprotein D0	HNRNPD	>sp|Q14103|HNRPD_HUMAN Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1	1	22	22	20	46.5	46.5	43.9	38.434	355	355	9.44	4		4	2	3	4	2	3	8	7		2	2	1	4	1	8		0	149.23	393320	302280	311090	322210	393320	302280	311090	322210	46	46	46	46	26702000000	56				2421	5282;6826;8695;8757;8758;9411;9412;9935;9936;11691;11742;14588;14589;15023;15395;17926;19050;19674;23934;23935;36919;38904	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	5514;7130;9085;9147;9148;9149;9827;9828;9829;10375;10376;12211;12265;15238;15239;15694;16082;18736;19895;20544;25016;25017;25018;25019;38818;38819;40895	8463;11001;13967;13968;13969;14059;14060;14061;14062;14063;14064;14065;14066;14067;15079;15080;15081;15082;15935;15936;15937;15938;15939;18738;18828;18829;23717;23718;23719;23720;23721;23722;23723;23724;23725;23726;23727;24487;25120;25121;25122;25123;29307;30919;30920;31942;38624;38625;38626;38627;38628;38629;59632;59633;62845	8696;11301;14358;14359;14360;14450;14451;14452;14453;14454;14455;14456;14457;14458;15481;15482;15483;15484;16374;16375;16376;16377;16378;19245;19335;19336;24378;24379;24380;24381;24382;24383;24384;24385;24386;24387;24388;25156;25809;25810;25811;25812;25813;30115;31754;31755;32797;39624;39625;39626;39627;39628;39629;61190;61191;64493	8696;11301;14358;14455;14458;15482;15484;16374;16378;19245;19336;24378;24385;25156;25809;30115;31754;32797;39625;39629;61191;64493	1678;1679;1680	99;155;215
Q14108	Q14108	4	4	4	Lysosome membrane protein 2	SCARB2	>sp|Q14108|SCRB2_HUMAN Lysosome membrane protein 2 OS=Homo sapiens GN=SCARB2 PE=1 SV=2	1	4	4	4	9	9	9	54.29	478	478	14.4										1			2					2	0	20.52	15353	12236	8023.6	12152	15353	12236	8023.6	12152	2	2	2	2	355610000	5				2422	4519;7421;18054;35586	True;True;True;True	4726;7750;18866;37422	7271;7272;11984;29491;57427	7484;7485;12326;30310;58926	7484;12326;30310;58926		
Q14114	Q14114	2	1	1	Low-density lipoprotein receptor-related protein 8	LRP8	>sp|Q14114|LRP8_HUMAN Low-density lipoprotein receptor-related protein 8 OS=Homo sapiens GN=LRP8 PE=1 SV=4	1	2	1	1	2.1	1.3	1.3	105.63	963	963	11											2								0	6.954	15705	12039	12930	13212	15705	12039	12930	13212	1	1	1	1	30385000	2				2423	11790;23656	True;False	12320;24671	18941;18942;38110	19458;19459;39107	19459;39107		
Q14116	Q14116	6	6	6	Interleukin-18	IL18	>sp|Q14116|IL18_HUMAN Interleukin-18 OS=Homo sapiens GN=IL18 PE=1 SV=1	1	6	6	6	36.3	36.3	36.3	22.326	193	193	13.3				1					1			2		2			4		0	12.683	33812	53221	49039	50522	33812	53221	49039	50522	7	7	7	7	2698000000	11				2424	8339;8340;16751;25629;29867;30666	True;True;True;True;True;True	8705;8706;8707;17513;26968;31392;32233	13407;13408;13409;13410;13411;13412;27467;41673;48189;49421	13790;13791;13792;13793;13794;13795;13796;28260;42746;49370;50627	13790;13794;28260;42746;49370;50627	1681	122
Q14117	Q14117	1	1	1	Dihydropyrimidinase	DPYS	>sp|Q14117|DPYS_HUMAN Dihydropyrimidinase OS=Homo sapiens GN=DPYS PE=1 SV=1	1	1	1	1	2.1	2.1	2.1	56.629	519	519	14														1					0.0081492	1.5541	21793	15672	9825.3	9478	21793	15672	9825.3	9478	1	1	1	1	58621000	1				2425	10944	True	11429	17542	18023	18023		
Q14126	Q14126	14	14	14	Desmoglein-2	DSG2	>sp|Q14126|DSG2_HUMAN Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2	1	14	14	14	18.6	18.6	18.6	122.29	1118	1118	9.96	2	2		3					1	3		3	2	1	1	4	1		0	183.18	128000	92734	82848	93852	128000	92734	82848	93852	19	19	19	19	3981000000	23				2426	3368;5487;10264;11832;12273;13376;15069;16914;27073;31150;33644;36484;37912;38029	True;True;True;True;True;True;True;True;True;True;True;True;True;True	3523;5729;5730;10719;12362;12827;13966;15744;17682;28492;32730;35370;38366;39868;39990	5467;5468;8796;8797;8798;16441;19010;19011;19780;21493;21494;24580;24581;27745;44002;44003;50190;54297;54298;58934;61276;61277;61459	5638;5639;9051;9052;9053;16885;19527;19528;20315;22061;22062;25251;25252;28538;45136;45137;51448;55700;55701;60480;62898;62899;63086	5639;9052;16885;19527;20315;22062;25252;28538;45137;51448;55700;60480;62899;63086	1682	757
Q14134	Q14134	20	20	20	Tripartite motif-containing protein 29	TRIM29	>sp|Q14134|TRI29_HUMAN Tripartite motif-containing protein 29 OS=Homo sapiens GN=TRIM29 PE=1 SV=2	1	20	20	20	32.3	32.3	32.3	65.834	588	588	9.65	2	1	1	3	1	1		2	3	4	1	3	1	2	3		1	2	0	82.803	128840	91236	70283	71538	128840	91236	70283	71538	15	15	15	15	9670500000	31				2427	763;2868;4824;8944;15658;17385;18507;18525;18526;25106;29289;29669;30255;30619;30845;31014;31563;34530;36244;36653	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	792;2998;5044;9340;16356;18172;19339;19358;19359;26427;30791;31185;31796;32183;32419;32592;33186;36307;38109;38110;38543	1241;1242;4661;7750;7751;7752;14339;25583;25584;28465;30132;30154;30155;30156;40861;47302;47877;47878;48760;49349;49722;49996;49997;50876;50877;55683;55684;58543;58544;59215;59216	1278;1279;4799;7972;7973;7974;14731;26297;26298;29269;30960;30982;30983;30984;41927;48470;49055;49056;49950;50555;50963;51253;51254;52159;52160;57111;57112;60077;60078;60767;60768	1278;4799;7974;14731;26297;29269;30960;30982;30983;41927;48470;49056;49950;50555;50963;51254;52159;57112;60078;60768	1683	347
Q14137	Q14137	13	13	13	Ribosome biogenesis protein BOP1	BOP1	>sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1 PE=1 SV=2	1	13	13	13	19.3	19.3	19.3	83.629	746	746	11.1	1				2	2		2			1		1	2			3	2	0	59.835	103260	79104	73639	87044	103260	79104	73639	87044	12	12	12	12	1756500000	17				2428	3450;5402;18855;19455;22940;23195;24046;30202;32514;32965;34855;34860;37096	True;True;True;True;True;True;True;True;True;True;True;True;True	3609;5639;19696;20319;23938;24201;25164;31742;34174;34652;36652;36657;39018	5590;8642;30640;31596;31597;37011;37401;38871;48679;48680;52340;53098;56201;56207;59957;59958	5761;8878;31474;32443;32444;37984;38379;39875;49867;49868;53684;54457;57644;57650;61531;61532;61533	5761;8878;31474;32443;37984;38379;39875;49867;53684;54457;57644;57650;61533	1684	189
Q14139	Q14139	10	10	10	Ubiquitin conjugation factor E4 A	UBE4A	>sp|Q14139|UBE4A_HUMAN Ubiquitin conjugation factor E4 A OS=Homo sapiens GN=UBE4A PE=1 SV=2	1	10	10	10	11.3	11.3	11.3	122.56	1066	1066	8.17		1		1	3	1		1	2		1					1		1	0	37.016	13708	13226	12088	13251	13708	13226	12088	13251	3	3	3	3	555990000	12				2429	6447;8790;14344;15350;21700;25526;25710;32482;35735;35856	True;True;True;True;True;True;True;True;True;True	6737;9181;14977;16036;22634;26863;27056;34140;37574;37702	10378;10379;14108;23213;25055;35112;41508;41509;41807;52280;57634;57843	10674;10675;14499;23818;25743;36049;42579;42580;42891;53624;59137;59348	10674;14499;23818;25743;36049;42580;42891;53624;59137;59348		
Q14141	Q14141	12	12	6	Septin-6	SEPT6	>sp|Q14141|SEPT6_HUMAN Septin-6 OS=Homo sapiens GN=SEPT6 PE=1 SV=4	1	12	12	6	30.9	30.9	19.4	49.716	434	434	11.1				1		1	2	3	2	1	1	1			1		4	1	0	57.983	62365	71345	65536	78215	62365	71345	65536	78215	13	13	13	13	3617600000	18				2430	6395;6399;18170;28504;28666;29210;30906;30923;32113;32504;34851;37058	True;True;True;True;True;True;True;True;True;True;True;True	6685;6689;18985;29982;30149;30711;32482;32499;33757;34164;36648;38978	10297;10298;10299;10303;29666;46113;46363;47183;49806;49839;49840;51716;51717;51718;51719;52327;56195;59895	10592;10593;10594;10598;30488;47268;47520;48350;51048;51082;51083;53015;53016;53017;53018;53671;57636;61456	10592;10598;30488;47268;47520;48350;51048;51082;53017;53671;57636;61456		
Q14142	Q14142	1	1	1	Tripartite motif-containing protein 14	TRIM14	>sp|Q14142|TRI14_HUMAN Tripartite motif-containing protein 14 OS=Homo sapiens GN=TRIM14 PE=2 SV=2	1	1	1	1	2.7	2.7	2.7	49.772	442	442	16																1			0	4.2782	16387	13095	12834	13393	16387	13095	12834	13393	1	1	1	1	17416000	1				2431	3285	True	3436	5329	5485	5485		
Q14146	Q14146	11	11	11	Unhealthy ribosome biogenesis protein 2 homolog	URB2	>sp|Q14146|URB2_HUMAN Unhealthy ribosome biogenesis protein 2 homolog OS=Homo sapiens GN=URB2 PE=2 SV=2	1	11	11	11	8.3	8.3	8.3	170.54	1524	1524	11.8		1			1			1	1			2		3			2	1	0	49.066	82490	54754	51692	56343	82490	54754	51692	56343	7	7	7	7	818210000	12				2432	938;1213;5850;7140;8255;11614;11951;16652;24762;25600;27627	True;True;True;True;True;True;True;True;True;True;True	975;1263;6118;7452;8609;12130;12486;17404;26065;26938;29068	1494;1980;9401;11497;13262;18612;18613;19190;27294;40285;41626;44814	1532;2067;9679;11813;13639;19118;19119;19711;28082;41310;42698;45956	1532;2067;9679;11813;13639;19119;19711;28082;41310;42698;45956		
Q14147	Q14147	2	2	2	Probable ATP-dependent RNA helicase DHX34	DHX34	>sp|Q14147|DHX34_HUMAN Probable ATP-dependent RNA helicase DHX34 OS=Homo sapiens GN=DHX34 PE=1 SV=2	1	2	2	2	2	2	2	128.12	1143	1143	9.5							1					1							0	6.3456	4210.7	3456	3802.5	4409.6	4210.7	3456	3802.5	4409.6	1	1	1	1	15088000	2				2433	2057;29728	True;True	2137;31245	3354;47957	3457;49136	3457;49136		
Q14151	Q14151	21	14	14	Scaffold attachment factor B2	SAFB2	>sp|Q14151|SAFB2_HUMAN Scaffold attachment factor B2 OS=Homo sapiens GN=SAFB2 PE=1 SV=1	1	21	14	14	15.9	10.4	10.4	107.47	953	953	8.6	1	3	2	1			3	1					5	1	2		1		0	40.564	58008	40453	40099	45189	58008	40453	40099	45189	13	13	13	13	1539600000	20				2434	619;620;3818;4438;4783;4926;4927;6217;7206;12023;13204;13205;14102;15902;17621;19751;25521;28746;29374;29375;30797	False;False;True;True;False;True;True;True;True;True;True;True;True;False;False;True;True;True;False;False;True	643;644;3993;4643;5002;5148;5149;6502;7525;12565;13791;13792;14725;16611;18415;20624;26858;30230;30880;30881;32368	1002;1003;1004;1005;1006;6184;7146;7147;7684;7685;7920;7921;10006;10007;11608;19330;21239;21240;21241;21242;21243;22767;26006;26007;28813;28814;32067;32068;41503;46469;47429;47430;47431;49645	1037;1038;1039;1040;1041;6369;7357;7358;7904;7905;8148;8149;10297;10298;11925;19855;21804;21805;21806;21807;21808;23370;26743;26744;29620;29621;32923;32924;42574;47626;48601;48602;48603;50885	1040;1041;6369;7357;7905;8148;8149;10298;11925;19855;21804;21808;23370;26743;29620;32923;42574;47626;48602;48603;50885	1685	791
Q14152	Q14152	52	52	52	Eukaryotic translation initiation factor 3 subunit A	EIF3A	>sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1	1	52	52	52	35.2	35.2	35.2	166.57	1382	1382	9.05	7	3	9	4	3	1	4	7	6	8	6	5	2	6	6		5	4	0	217.96	327080	352150	342870	378610	327080	352150	342870	378610	60	60	60	60	17659000000	86				2435	510;1596;1723;2477;4490;6714;8638;10578;11182;11195;12470;12909;13887;13939;14467;14824;15485;15543;15799;16107;17784;17897;18047;18111;18420;18630;19801;21075;21223;21518;23129;24199;25246;25707;26024;27971;28367;28493;28687;28700;28900;28960;28962;28968;28971;29123;33604;33605;33891;36687;37547;38234	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	529;1661;1792;2597;4697;7017;9026;11049;11680;11694;13028;13490;14497;14552;15109;15489;16177;16238;16239;16505;16506;16823;18587;18707;18859;18923;19248;19464;20674;21994;22146;22447;24132;25357;26571;27052;27053;27391;27392;29435;29841;29971;30171;30184;30389;30451;30453;30459;30462;30617;35327;35328;35628;38577;39486;40197	805;2622;2816;4067;4068;7230;10835;13879;13880;16968;16969;17910;17911;17936;20060;20788;22338;22339;22340;22341;22439;22440;23427;24176;25315;25409;25410;25845;25846;25847;26348;26349;29062;29063;29269;29482;29579;30017;30294;30295;32131;32132;34147;34375;34376;34851;37298;37299;37300;39190;41055;41801;41802;41803;42328;42329;42330;42331;42332;42333;42334;45336;45337;45906;46096;46390;46408;46409;46705;46706;46795;46797;46798;46805;46806;46809;46810;47039;47040;54228;54229;54230;54679;59262;60639;61763	831;2715;2912;4195;4196;7441;11135;14269;14270;17429;17430;18395;18396;18421;20599;21339;22939;22940;22941;22942;23041;23042;24077;24841;26014;26110;26111;26564;26565;26566;27098;27099;29870;29871;30077;30300;30398;30843;31123;31124;32991;32992;35043;35271;35272;35786;38275;38276;38277;40200;42121;42885;42886;42887;43433;43434;43435;43436;43437;43438;43439;46483;46484;47057;47251;47547;47565;47566;47867;47868;47958;47960;47961;47968;47969;47972;47973;48206;48207;55628;55629;55630;56091;60814;62219;63394	831;2715;2912;4195;7441;11135;14269;17430;18396;18421;20599;21339;22940;23041;24077;24841;26014;26111;26566;27098;29870;30077;30300;30398;30843;31123;32992;35043;35272;35786;38277;40200;42121;42886;43435;46483;47057;47251;47547;47566;47868;47958;47961;47968;47973;48206;55628;55630;56091;60814;62219;63394	1686;1687;1688;1689	51;315;526;722
Q14155	Q14155	7	7	6	Rho guanine nucleotide exchange factor 7	ARHGEF7	>sp|Q14155|ARHG7_HUMAN Rho guanine nucleotide exchange factor 7 OS=Homo sapiens GN=ARHGEF7 PE=1 SV=2	1	7	7	6	10.6	10.6	9	90.011	803	803	10.8			1					1		2	1			1	2				0	34.264	34886	41299	37897	43783	34886	41299	37897	43783	4	4	4	4	654930000	8				2436	8145;11699;18514;22201;24809;32028;35919	True;True;True;True;True;True;True	8499;12220;19346;23173;26113;33669;37767	13113;18756;30140;35898;35899;40349;51578;57944	13488;19263;30968;36846;36847;41375;52872;59449	13488;19263;30968;36846;41375;52872;59449		
Q14156	Q14156	4	4	4	Protein EFR3 homolog A	EFR3A	>sp|Q14156|EFR3A_HUMAN Protein EFR3 homolog A OS=Homo sapiens GN=EFR3A PE=1 SV=2	1	4	4	4	4.5	4.5	4.5	92.923	821	821	11			1				1									1		1	0	6.851	0	0	0	0	0	0	0	0	0	0	0	0	67426000	4				2437	2507;5479;29550;33974	True;True;True;True	2629;5720;31062;35717	4120;8785;47690;54830	4249;9040;48864;56246	4249;9040;48864;56246		
Q14157	Q14157	11	11	11	Ubiquitin-associated protein 2-like	UBAP2L	>sp|Q14157|UBP2L_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L PE=1 SV=2	1	11	11	11	13.4	13.4	13.4	114.53	1087	1087	9.47	2		1		2		1	1					5	1		1	1		0	92.956	60564	56708	53732	52620	60564	56708	53732	52620	11	11	11	11	3067000000	15				2438	4741;10606;12040;12904;13087;15084;26746;28275;29568;31733;32013	True;True;True;True;True;True;True;True;True;True;True	4960;11079;12582;13485;13671;15762;28149;29747;31080;33363;33653	7624;7625;17021;19362;19363;20781;20782;21052;24615;43490;45762;45763;47717;51146;51556	7844;7845;17487;19888;19889;21332;21333;21612;25287;44616;46911;46912;48891;52433;52850	7845;17487;19889;21332;21612;25287;44616;46911;48891;52433;52850		
Q14160	Q14160	25	25	23	Protein scribble homolog	SCRIB	>sp|Q14160|SCRIB_HUMAN Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4	1	25	25	23	17.7	17.7	16.3	174.88	1630	1630	11.1		2		1			2	4	7	2	2	1		1	1	2	3	4	0	93.865	140540	112540	116980	119000	140540	112540	116980	119000	17	17	17	17	3570000000	32				2439	1876;8092;8093;11244;12074;12075;13394;14695;14712;14848;18164;18364;22137;22802;24651;28395;28779;29165;30949;30962;31121;37186;37485;37505;37552	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1954;8445;8446;11747;12616;12617;13984;15354;15371;15515;18979;19189;23108;23793;25922;29869;30264;30659;32526;32539;32701;39110;39422;39443;39491	3077;3078;13033;13034;18015;19411;19412;21520;23919;23920;23945;23946;24217;29657;29940;35809;36792;40038;45945;45946;46522;46523;47091;49890;49891;49910;50152;50153;60096;60551;60576;60646	3177;3178;13407;13408;18501;19939;19940;22088;24581;24582;24607;24608;24883;30478;30766;36754;37765;41060;47096;47097;47680;47681;48258;51147;51148;51167;51410;51411;61672;62130;62155;62226	3177;13407;13408;18501;19939;19940;22088;24581;24608;24883;30478;30766;36754;37765;41060;47096;47680;48258;51148;51167;51410;61672;62130;62155;62226	1690	809
Q14161	Q14161	1	1	1	ARF GTPase-activating protein GIT2	GIT2	>sp|Q14161|GIT2_HUMAN ARF GTPase-activating protein GIT2 OS=Homo sapiens GN=GIT2 PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	84.542	759	759	6						1													0.0022667	2.0802	0	0	0	0	0	0	0	0	0	0	0	0	38118000	1				2440	22480	True	23463	36330	37286	37286		
