Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
Q5RKV6	Exosome complex component MTR3	EXOSC6	28.235	42.176	22.4	5	5	10	1.063	0.93	1.004	1.143	2.73E-03
Q5SNT2	Transmembrane protein 201	TMEM201	72.235	3.1238	1.4	1	1	1					
Q5SQN1	Synaptosomal-associated protein 47	SNAP47	52.562	2.6111	2.6	1	1	1	1.158	0.924	0.906	1.253	
Q5SRE5	Nucleoporin NUP188 homolog	NUP188	196.04	43.271	8.7	14	14	16	1.058	1.007	0.959	1.051	7.48E-02
Q5SSJ5	Heterochromatin protein 1-binding protein 3	HP1BP3	61.206	53.578	17.5	13	13	21	1.097	0.834	1.004	1.315	2.68E-05
Q5ST30	Valine--tRNA ligase, mitochondrial	VARS2	118.49	5.5729999999999995	3.8	3	3	3					
Q5SVZ6	Zinc finger MYM-type protein 1	ZMYM1	128.72	2.2171	1.5	2	1	1					
Q5SW79	Centrosomal protein of 170 kDa	CEP170	175.29	58.701	11.9	18	18	18	0.916	1.062	1.028	0.863	1.19E-05
Q5SWX8	Protein odr-4 homolog	ODR4	51.103	5.0088	2.9	1	1	1	0.919	1.069	1.029	0.86	
Q5SY16	Polynucleotide 5-hydroxyl-kinase NOL9	NOL9	79.322	12.06	3.8	2	2	2	1.139	0.965	0.884	1.18	
Q5T013	Putative hydroxypyruvate isomerase	HYI	30.405	1.9046	4.3	1	1	1					
Q5T0F9	Coiled-coil and C2 domain-containing protein 1B	CC2D1B	94.223	8.2752	2.4	2	2	3	0.818	1.132	1.078	0.722	5.40E-03
Q5T0N5	Formin-binding protein 1-like	FNBP1L	70.065	35.911	12.1	8	8	8	0.942	1.057	1.034	0.891	1.60E-02
Q5T0W9	Protein FAM83B	FAM83B	114.8	3.3068	1.6	2	2	2					
Q5T160	Probable arginine--tRNA ligase, mitochondrial	RARS2	65.505	12.745999999999999	9.2	5	5	7	1.087	0.937	0.974	1.16	
Q5T1C6	Acyl-coenzyme A thioesterase THEM4	THEM4	27.129	45.698	21.7	5	5	8	1.248	0.847	0.845	1.473	7.10E-08
Q5T1M5	FK506-binding protein 15	FKBP15	133.63	97.199	11.8	13	13	15	0.996	1.013	1.014	0.984	4.13E-01
Q5T1V6	Probable ATP-dependent RNA helicase DDX59	DDX59	68.809	4.289	1.9	1	1	1	0.834	1.039	1.156	0.803	
Q5T200	Zinc finger CCCH domain-containing protein 13	ZC3H13	196.63	8.2537	2.6	4	4	5	1.136	0.929	0.926	1.223	6.35E-02
Q5T280	Uncharacterized protein C9orf114	C9orf114	42.008	17.508	11.4	4	4	4	1.207	0.976	0.899	1.237	5.07E-01
Q5T2E6	UPF0668 protein C10orf76	C10orf76	78.71	2.3577	1.3	1	1	1					
Q5T2T1	MAGUK p55 subfamily member 7	MPP7	65.523	30.13	7.3	3	3	3	1.103	0.894	1.0	1.234	1.27E-01
Q5T3I0	G patch domain-containing protein 4	GPATCH4	50.381	28.073	10.1	4	4	4	1.214	0.91	0.87	1.334	5.79E-04
Q5T440	Putative transferase CAF17, mitochondrial	IBA57	38.155	18.636	12.4	4	4	4	1.159	0.929	0.899	1.248	
Q5T447	E3 ubiquitin-protein ligase HECTD3	HECTD3	97.11200000000001	18.442	3.8	3	3	3	0.928	1.043	1.045	0.89	
Q5T4S7	E3 ubiquitin-protein ligase UBR4	UBR4	573.83	179.75	6.8	35	35	41	0.796	1.123	1.1	0.708	2.26E-10
Q5T5U3	Rho GTPase-activating protein 21	ARHGAP21	217.33	4.2322	0.7	1	1	1	0.925	1.161	0.927	0.797	
Q5T5X7	BEN domain-containing protein 3	BEND3	94.47399999999999	7.4057	2.5	2	2	2	0.988	0.946	1.077	1.044	7.19E-01
Q5T5Y3	Calmodulin-regulated spectrin-associated protein 1	CAMSAP1	177.97	4.6893	2.4	4	4	4	0.934	1.077	1.003	0.867	
Q5T653	39S ribosomal protein L2, mitochondrial	MRPL2	33.3	14.325	15.1	3	3	3	1.222	0.976	0.78	1.252	2.93E-01
Q5T6F2	Ubiquitin-associated protein 2	UBAP2	117.11	36.656	6.5	6	6	7	0.93	1.029	1.058	0.904	1.57E-02
Q5T6V5	UPF0553 protein C9orf64	C9orf64	39.028	19.49	15.5	6	6	9	0.708	1.05	1.254	0.674	4.23E-05
Q5T7W7	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2	TSTD2	58.262	2.4366	2.9	1	1	1					
Q5T8D3	Acyl-CoA-binding domain-containing protein 5	ACBD5	60.091	38.036	16.5	8	8	9	1.145	0.991	0.822	1.155	1.04E-02
Q5T8I3	Protein FAM102B	FAM102B	39.308	3.5408	8.3	2	2	2					
Q5T8P6	RNA-binding protein 26	RBM26	113.6	36.464	14.9	14	13	16	1.136	0.917	0.902	1.239	8.89E-02
Q5T8R8	Uncharacterized protein C9orf66	C9orf66	31.184	1.5336	2.7	1	1	1					
Q5T9A4	ATPase family AAA domain-containing protein 3B	ATAD3B	72.572	35.584	33.0	21	5	5	1.226	0.903	0.849	1.358	1.40E-01
Q5T9L3	Protein wntless homolog	WLS	62.253	1.8636	2.2	1	1	1					
Q5TA45	Integrator complex subunit 11	CPSF3L	67.66199999999999	3.1615	3.3	2	2	2	1.01	0.911	1.088	1.11	4.36E-02
Q5TBB1	Ribonuclease H2 subunit B	RNASEH2B	35.138000000000005	13.869000000000002	19.2	5	5	5	0.792	1.213	1.025	0.653	
Q5TBC7	Bcl-2-like protein 15	BCL2L15	17.725	17.162	16.6	2	2	2	0.749	1.187	1.1	0.631	
Q5TC12	ATP synthase mitochondrial F1 complex assembly factor 1	ATPAF1	36.436	28.035	19.2	7	7	10	1.181	0.957	0.845	1.234	7.42E-04
Q5TDH0	Protein DDI1 homolog 2	DDI2	44.522	32.139	21.6	6	6	7	0.855	1.06	1.103	0.807	2.72E-02
Q5TFE4	5-nucleotidase domain-containing protein 1	NT5DC1	51.843999999999994	19.076	8.1	3	3	6	0.615	1.114	1.251	0.552	3.63E-06
Q5TGY3	AT-hook DNA-binding motif-containing protein 1	AHDC1	168.35	9.3215	0.7	1	1	2	1.154	0.95	0.883	1.215	1.37E-01
Q5TH69	Brefeldin A-inhibited guanine nucleotide-exchange protein 3	ARFGEF3	240.65	1.8127	0.3	1	1	1	1.279	0.879	0.815	1.455	
Q5THJ4	Vacuolar protein sorting-associated protein 13D	VPS13D	491.91	8.0918	0.9	4	4	4	0.945	0.995	1.075	0.95	
Q5TKA1	Protein lin-9 homolog	LIN9	61.945	8.4671	2.8	1	1	1	0.985	1.013	1.011	0.972	
Q5TZA2	Rootletin	CROCC	228.52	6.2944	1.5	3	3	4	0.978	0.998	1.035	0.979	8.36E-01
Q5U649	Uncharacterized protein C12orf60	C12orf60	27.625999999999998	-2.0	3.3	1	1	1					
Q5UCC4	ER membrane protein complex subunit 10	EMC10	27.346999999999998	32.306999999999995	9.5	2	2	2	1.283	0.903	0.786	1.42	8.43E-03
Q5UIP0	Telomere-associated protein RIF1	RIF1	274.46	68.53	6.2	12	12	12	1.1	0.928	0.986	1.187	1.10E-02
Q5VIR6	Vacuolar protein sorting-associated protein 53 homolog	VPS53	79.652	7.4076	3.6	3	3	3	0.834	1.137	1.055	0.734	
Q5VSL9	Striatin-interacting protein 1	STRIP1	95.575	21.4	4.3	3	3	3	0.974	1.009	1.028	0.965	
Q5VST6	Alpha/beta hydrolase domain-containing protein 17B	ABHD17B	32.214	2.4473	4.2	1	1	1	1.094	0.885	1.019	1.236	
Q5VT25	Serine/threonine-protein kinase MRCK alpha	CDC42BPA	197.3	2.7056	1.1	2	2	2	0.969	1.067	0.974	0.908	
Q5VT52	Regulation of nuclear pre-mRNA domain-containing protein 2	RPRD2	156.02	80.555	12.3	13	13	17	1.172	0.948	0.889	1.236	1.10E-05
Q5VT66	Mitochondrial amidoxime-reducing component 1	MARC1	37.499	44.156000000000006	19.6	6	5	6	1.199	0.986	0.873	1.216	9.46E-03
Q5VT79	Annexin A8-like protein 2	ANXA8L2	36.879	7.9646	35.2	13	1	3	0.58	1.358	1.117	0.427	
Q5VTB9	E3 ubiquitin-protein ligase RNF220	RNF220	62.765	4.7463	4.2	2	2	2					
Q5VTL8	Pre-mRNA-splicing factor 38B	PRPF38B	64.467	12.542	8.8	4	4	7	0.984	0.934	1.093	1.054	7.88E-01
Q5VTR2	E3 ubiquitin-protein ligase BRE1A	RNF20	113.66	83.6	17.2	15	13	14	1.059	0.947	0.986	1.118	5.24E-03
Q5VU43	Myomegalin	PDE4DIP	265.08	4.4559	1.0	2	2	2					
Q5VUA4	Zinc finger protein 318	ZNF318	251.11	1.9007	0.3	1	1	1	1.048	0.924	1.031	1.134	
Q5VV41	Rho guanine nucleotide exchange factor 16	ARHGEF16	80.104	54.846000000000004	20.3	11	11	14	0.855	1.112	1.041	0.769	3.11E-05
Q5VV42	Threonylcarbamoyladenosine tRNA methylthiotransferase	CDKAL1	65.111	14.645	5.7	3	3	4	1.249	0.875	0.852	1.427	
Q5VV67	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1	PPRC1	177.54	1.5930000000000002	0.4	1	1	1					
Q5VVQ6	Ubiquitin thioesterase OTU1	YOD1	38.321999999999996	1.8795	2.6	1	1	1					
Q5VVW2	GTPase-activating Rap/Ran-GAP domain-like protein 3	GARNL3	112.85	1.5064	1.1	1	1	2	1.408	0.984	0.56	1.432	1.01E-01
Q5VW32	BRO1 domain-containing protein BROX	BROX	46.476000000000006	53.258	17.5	5	5	9	0.787	1.076	1.137	0.731	3.63E-06
Q5VW36	Focadhesin	FOCAD	200.07	11.887	2.4	4	4	4	0.959	1.146	0.904	0.837	
Q5VW38	Protein GPR107	GPR107	66.99	2.0775	3.2	2	2	2	1.224	0.82	0.937	1.493	
Q5VWC8	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4	PTPLAD2	27.52	2.8088	3.9	1	1	1	1.256	0.895	0.823	1.403	
Q5VWN6	Protein FAM208B	FAM208B	268.84	2.2347	0.8	2	2	2	1.027	0.897	1.083	1.145	
Q5VWQ0	Round spermatid basic protein 1	RSBN1	90.071	15.895999999999999	4.1	3	3	3	1.006	0.957	1.045	1.051	
Q5VWZ2	Lysophospholipase-like protein 1	LYPLAL1	26.316	13.806	9.3	2	2	3					
Q5VYK3	Proteasome-associated protein ECM29 homolog	ECM29	204.29	245.45	24.1	37	37	48	0.869	1.042	1.118	0.834	1.41E-07
Q5VYS8	Terminal uridylyltransferase 7	ZCCHC6	171.23	9.0477	2.9	4	4	4	0.977	1.045	0.987	0.935	
Q5VZ89	DENN domain-containing protein 4C	DENND4C	186.85	3.3953	0.8	1	1	1	0.923	0.99	1.106	0.932	
Q5VZE5	N-alpha-acetyltransferase 35, NatC auxiliary subunit	NAA35	83.63799999999999	2.6615	3.2	2	2	2	0.977	1.002	1.031	0.975	
Q5VZF2	Muscleblind-like protein 2	MBNL2	40.516999999999996	2.9566	12.9	5	2	2					
Q5VZK9	Leucine-rich repeat-containing protein 16A	LRRC16A	151.56	75.00399999999999	10.0	11	11	14	0.874	1.159	0.993	0.754	1.44E-03
Q5VZL5	Zinc finger MYM-type protein 4	ZMYM4	172.79	7.2636	2.8	5	3	3	1.062	1.002	0.936	1.06	
Q5W111	SPRY domain-containing protein 7	SPRYD7	21.666	3.0544	8.2	2	2	2	1.186	0.886	0.913	1.339	3.89E-03
Q5XPI4	E3 ubiquitin-protein ligase RNF123	RNF123	148.51	13.357000000000001	2.1	2	2	2	0.837	1.05	1.142	0.798	4.56E-02
Q5XUX1	F-box/WD repeat-containing protein 9	FBXW9	54.115	5.9152	3.1	1	1	1	0.892	0.997	1.133	0.895	
Q5ZPR3	CD276 antigen	CD276	57.235	4.9349	1.9	1	1	2	1.112	0.952	0.93	1.168	
Q63HN8	E3 ubiquitin-protein ligase RNF213	RNF213	591.4	26.279	2.2	11	10	10	1.053	0.997	1.009	1.056	7.94E-01
Q63ZY3	KN motif and ankyrin repeat domain-containing protein 2	KANK2	91.17299999999999	5.483	3.5	3	3	3	1.028	0.83	1.15	1.238	1.14E-01
Q9Y4E1	WASH complex subunit FAM21C	FAM21C	144.67	92.056	13.5	12	12	13	0.9	1.038	1.084	0.867	1.50E-04
Q658P3	Metalloreductase STEAP3	STEAP3	54.6	19.492	12.7	5	5	6	1.119	0.902	0.979	1.241	1.89E-03
Q658Y4	Protein FAM91A1	FAM91A1	93.90799999999999	10.75	7.9	7	7	7	0.966	1.047	1.007	0.923	3.36E-02
Q66K74	Microtubule-associated protein 1S	MAP1S	112.21	17.424	5.0	4	4	5	0.865	1.007	1.104	0.859	4.33E-02
Q66K89	Transcription factor E4F1	E4F1	83.495	4.1782	2.9	2	2	2	1.133	0.925	0.934	1.225	
Q66PJ3	ADP-ribosylation factor-like protein 6-interacting protein 4	ARL6IP4	44.915	7.1562	6.7	2	2	2	0.947	0.869	1.204	1.09	
Q676U5	Autophagy-related protein 16-1	ATG16L1	68.264	5.0559	7.7	5	5	5	0.917	1.109	1.014	0.827	1.25E-01
Q684P5	Rap1 GTPase-activating protein 2	RAP1GAP2	80.055	4.2285	1.4	1	1	2	0.947	1.225	0.837	0.773	
Q68CP9	AT-rich interactive domain-containing protein 2	ARID2	197.39	40.766999999999996	5.7	8	8	8	1.132	0.957	0.922	1.183	7.28E-02
Q68CQ4	Digestive organ expansion factor homolog	DIEXF	87.054	34.819	10.4	7	7	9	1.076	0.925	1.035	1.163	1.50E-02
Q68CQ7	Glycosyltransferase 8 domain-containing protein 1	GLT8D1	41.935	4.2563	2.7	1	1	1	1.189	0.91	0.885	1.307	
Q68CZ2	Tensin-3	TNS3	155.26	14.45	3.1	4	3	3	0.99	1.104	0.912	0.898	2.57E-01
Q68CZ6	HAUS augmin-like complex subunit 3	HAUS3	69.65	10.502	4.1	2	2	2	0.826	1.063	1.141	0.777	
Q68D10	Protein SPT2 homolog	SPTY2D1	75.598	6.5358	5.8	4	4	4	0.98	1.115	0.912	0.879	
Q68D85	Natural cytotoxicity triggering receptor 3 ligand 1	NCR3LG1	50.827	4.441	4.6	2	2	2	0.981	0.999	1.03	0.982	
Q68D91	Metallo-beta-lactamase domain-containing protein 2	MBLAC2	31.371	6.8987	19.0	5	5	5					
Q68DH5	LMBR1 domain-containing protein 2	LMBRD2	81.171	1.5872	1.0	1	1	1					
Q68DK7	Male-specific lethal 1 homolog	MSL1	67.128	3.9777	2.1	1	1	1	0.956	1.042	1.014	0.917	
Q68E01	Integrator complex subunit 3	INTS3	118.07	70.771	9.6	8	8	10	1.125	0.958	0.825	1.174	1.94E-01
Q68EM7	Rho GTPase-activating protein 17	ARHGAP17	95.436	16.142	2.8	2	2	2	0.869	0.985	1.17	0.883	1.54E-01
Q69YH5	Cell division cycle-associated protein 2	CDCA2	112.68	14.244000000000002	2.4	2	2	2	0.975	0.857	1.183	1.138	
Q69YL0	Uncharacterized protein NCBP2-AS2	NCBP2-AS2	10.89	4.9928	23.2	2	2	2	1.112	0.972	0.91	1.145	1.65E-01
Q69YN2	CWF19-like protein 1	CWF19L1	60.618	6.4892	6.1	3	3	3	0.857	1.127	1.138	0.76	5.92E-02
Q69YN4	Protein virilizer homolog	KIAA1429	202.02	39.414	4.6	7	7	7	1.056	0.837	1.07	1.262	8.07E-03
Q69YQ0	Cytospin-A	SPECC1L	124.6	8.1178	3.7	3	3	3					
Q6AI08	HEAT repeat-containing protein 6	HEATR6	128.78	2.3001	1.3	1	1	1	0.803	1.085	1.145	0.74	
Q6AI12	Ankyrin repeat domain-containing protein 40	ANKRD40	41.088	4.3366	5.2	1	1	1	1.07	0.981	0.947	1.091	
Q6AZY7	Scavenger receptor class A member 3	SCARA3	65.13600000000001	3.0078	1.8	1	1	1	0.917	0.845	1.261	1.085	
Q6BDS2	UHRF1-binding protein 1	UHRF1BP1	159.48	10.875	2.0	2	2	3	0.976	1.192	0.966	0.819	4.97E-02
Q6DD87	Zinc finger protein 787	ZNF787	40.543	5.0939	3.9	1	1	1	0.824	0.879	1.332	0.937	
Q6DD88	Atlastin-3	ATL3	60.541000000000004	147.85	34.6	16	16	27	1.118	0.922	0.893	1.213	1.05E-06
Q6DHV7	Adenosine deaminase-like protein	ADAL	40.263000000000005	3.3808	2.8	1	1	1	0.765	1.205	1.063	0.635	
Q6DKI1	60S ribosomal protein L7-like 1	RPL7L1	28.660999999999998	40.325	15.0	3	3	3	1.44	0.842	0.67	1.709	1.32E-02
Q6DKJ4	Nucleoredoxin	NXN	48.391999999999996	46.104	25.3	6	6	6	0.879	1.065	1.075	0.825	1.18E-02
Q6DKK2	Tetratricopeptide repeat protein 19, mitochondrial	TTC19	42.456	2.8418	4.5	2	2	2	1.172	0.885	0.93	1.324	
Q6DN12	Multiple C2 and transmembrane domain-containing protein 2	MCTP2	99.594	9.767999999999999	2.8	2	2	2	1.334	0.916	0.715	1.456	
Q6FI81	Anamorsin	CIAPIN1	33.582	76.908	29.8	9	9	12	0.64	1.208	1.146	0.53	1.54E-06
Q6GMV2	SET and MYND domain-containing protein 5	SMYD5	47.34	3.5386	4.5	2	2	2	0.695	1.026	1.328	0.677	
Q6GMV3	Putative peptidyl-tRNA hydrolase PTRHD1	PTRHD1	15.805	20.52	25.0	3	3	5	0.871	1.162	0.987	0.749	3.25E-02
Q6I9Y2	THO complex subunit 7 homolog	THOC7	23.743000000000002	12.515999999999998	11.3	2	2	3					
Q6IA69	Glutamine-dependent NAD(+) synthetase	NADSYN1	79.28399999999999	3.125	1.4	1	1	1					
Q6IA86	Elongator complex protein 2	ELP2	92.499	2.1414	1.7	2	2	2	1.027	0.905	1.074	1.135	
Q6IAA8	Ragulator complex protein LAMTOR1	LAMTOR1	17.745	38.137	23.0	2	2	3	1.193	0.919	0.871	1.298	6.33E-03
Q6IAN0	Dehydrogenase/reductase SDR family member 7B	DHRS7B	35.119	4.7525	7.1	2	2	2	1.231	0.934	0.814	1.317	3.18E-02
Q6IBS0	Twinfilin-2	TWF2	39.548	38.238	22.9	7	5	5	0.808	1.168	1.006	0.692	6.76E-03
Q6IBW4	Condensin-2 complex subunit H2	NCAPH2	68.226	2.6283	1.5	1	1	1	1.066	0.922	1.013	1.156	
Q6ICB0	Desumoylating isopeptidase 1	DESI1	18.262	2.3917	9.5	2	2	2					
Q6IN84	rRNA methyltransferase 1, mitochondrial	MRM1	38.638000000000005	3.0073	4.2	2	2	3	1.246	0.852	0.88	1.462	
Q6IN85	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	SMEK1	95.367	22.261999999999997	7.9	6	4	5	1.056	0.992	0.952	1.065	2.11E-01
Q6IQ22	Ras-related protein Rab-12	RAB12	27.248	48.968	23.0	5	5	7	1.068	0.997	0.948	1.071	1.29E-01
Q6JQN1	Acyl-CoA dehydrogenase family member 10	ACAD10	118.83	34.95	5.6	6	6	7	1.241	0.856	0.885	1.45	9.97E-06
Q6KC79	Nipped-B-like protein	NIPBL	316.05	35.578	5.8	16	16	17	1.053	0.881	1.046	1.195	3.02E-03
Q6L8Q7	2,5-phosphodiesterase 12	PDE12	67.351	18.35	11.2	5	5	6	0.954	1.006	1.054	0.949	2.65E-01
Q6MZW2	Follistatin-related protein 4	FSTL4	93.095	1.8783	1.0	1	1	1	1.28	1.055	0.632	1.213	
Q6N063	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2	OGFOD2	38.996	3.3447	2.6	1	1	1	0.82	1.119	1.09	0.733	
Q6NSZ9	Zinc finger and SCAN domain-containing protein 25	ZSCAN25	61.474	1.8004	3.9	2	1	1					
Q6NUK1	Calcium-binding mitochondrial carrier protein SCaMC-1	SLC25A24	53.354	63.519	34.8	17	17	25	1.223	0.959	0.819	1.275	1.27E-06
Q6NUM6	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase	TYW1B	76.915	2.7465	1.6	1	1	1					
Q6NUM9	All-trans-retinol 13,14-reductase	RETSAT	66.819	48.196000000000005	16.9	9	9	11	1.175	0.951	0.83	1.236	1.10E-03
Q6NUQ4	Transmembrane protein 214	TMEM214	77.15	56.751999999999995	17.9	11	11	14	1.204	0.935	0.842	1.288	1.11E-04
Q6NVY1	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	HIBCH	43.482	7.9294	9.8	4	4	7	1.173	0.873	0.912	1.344	3.41E-03
Q6NW29	RWD domain-containing protein 4	RWDD4	21.25	2.8075	4.8	1	1	2	0.729	1.048	1.267	0.696	
Q6NWY9	Pre-mRNA-processing factor 40 homolog B	PRPF40B	99.35700000000001	5.0045	3.6	4	1	1					
Q6NXE6	Armadillo repeat-containing protein 6	ARMC6	54.141000000000005	5.0975	3.8	2	2	2					
Q6NXR4	TELO2-interacting protein 2	TTI2	56.913999999999994	20.818	5.1	2	2	2					
Q6NXT1	Ankyrin repeat domain-containing protein 54	ANKRD54	32.505	3.6963	8.3	2	2	2	0.975	1.016	1.019	0.96	
Q6NXT6	Transmembrane anterior posterior transformation protein 1 homolog	TAPT1	64.259	1.6923	1.8	1	1	1					
Q6NYC1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	JMJD6	46.461000000000006	13.554	6.7	2	2	2	0.845	1.111	1.07	0.761	
Q6NYC8	Phostensin	PPP1R18	67.942	44.472	12.9	6	6	6	1.014	0.971	1.07	1.044	3.60E-01
Q6NZI2	Polymerase I and transcript release factor	PTRF	43.476000000000006	114.95	21.5	9	9	13	1.044	0.839	1.069	1.244	1.97E-02
Q6NZY4	Zinc finger CCHC domain-containing protein 8	ZCCHC8	78.57600000000001	49.336000000000006	13.3	6	6	6	1.11	0.921	0.975	1.205	3.85E-03
Q6P087	RNA pseudouridylate synthase domain-containing protein 3	RPUSD3	38.46	10.610999999999999	12.3	3	3	3	1.215	0.871	0.895	1.395	
Q6P158	Putative ATP-dependent RNA helicase DHX57	DHX57	155.6	3.0623	2.5	3	3	3	0.995	0.906	1.11	1.098	
Q6P1A2	Lysophospholipid acyltransferase 5	LPCAT3	56.034	1.7439	1.8	1	1	1					
Q6P1J9	Parafibromin	CDC73	60.576	30.641	20.9	10	10	10	1.099	1.024	0.883	1.073	2.53E-02
Q6P1K2	Polyamine-modulated factor 1	PMF1	23.339000000000002	6.1648	10.7	2	2	3	0.99	0.975	1.043	1.016	8.35E-01
Q6P1L8	39S ribosomal protein L14, mitochondrial	MRPL14	15.947000000000001	4.24	6.9	1	1	2	1.314	0.899	0.754	1.462	1.69E-04
Q6P1M0	Long-chain fatty acid transport protein 4	SLC27A4	72.063	57.275	12.8	6	6	7	1.187	0.9	0.899	1.319	1.61E-02
Q6P1M3	Lethal(2) giant larvae protein homolog 2	LLGL2	113.45	31.689	10.8	11	11	12	1.013	0.993	0.932	1.02	9.31E-01
Q6P1N0	Coiled-coil and C2 domain-containing protein 1A	CC2D1A	104.06	62.413000000000004	18.4	15	15	17	0.912	1.047	1.034	0.871	1.26E-04
Q6P1N9	Putative deoxyribonuclease TATDN1	TATDN1	33.601	14.09	13.5	4	4	5	0.887	1.057	1.077	0.839	4.38E-01
Q6P1Q0	LETM1 domain-containing protein 1	LETMD1	41.79	7.7108	5.3	2	2	3					
Q6P1Q9	Methyltransferase-like protein 2B	METTL2B	43.426	21.421	15.6	4	1	1					
Q6P1X6	UPF0598 protein C8orf82	C8orf82	23.889	3.7298	9.7	2	2	3	0.721	0.441	1.9	1.635	
Q6P2C8	Mediator of RNA polymerase II transcription subunit 27	MED27	35.431	13.394	11.6	3	3	3	1.094	0.974	0.926	1.123	2.58E-01
Q6P2E9	Enhancer of mRNA-decapping protein 4	EDC4	151.66	68.82300000000001	9.7	12	12	17	0.928	0.962	1.08	0.965	1.23E-01
Q6P2P2	Putative protein arginine N-methyltransferase 9	PRMT9	94.5	8.7857	1.4	2	2	2					
Q6P2Q9	Pre-mRNA-processing-splicing factor 8	PRPF8	273.6	243.98	21.8	50	50	73	1.211	0.906	0.852	1.337	5.33E-30
Q6P3W7	SCY1-like protein 2	SCYL2	103.71	22.273000000000003	7.5	6	6	6	0.991	1.0	1.018	0.991	9.41E-01
Q6P3X3	Tetratricopeptide repeat protein 27	TTC27	96.631	10.504000000000001	3.7	3	3	3	0.812	1.101	1.089	0.738	7.05E-05
Q6P444	Mitochondrial fission regulator 2	MTFR2	43.38399999999999	3.8873	3.4	2	2	2					
Q6P4E1	Protein CASC4	CASC4	48.864	18.418	9.2	3	3	3	1.074	1.075	0.845	0.999	9.68E-01
Q6P4I2	WD repeat-containing protein 73	WDR73	41.685	2.0698	2.6	1	1	1	0.584	1.288	1.185	0.453	
Q6P4Q7	Metal transporter CNNM4	CNNM4	86.60600000000001	2.8082	3.5	3	1	1					
Q6P4R8	Nuclear factor related to kappa-B-binding protein	NFRKB	139.0	11.835	3.8	4	4	4	1.12	0.9	0.974	1.244	1.49E-01
Q6P587	Acylpyruvase FAHD1, mitochondrial	FAHD1	24.843000000000004	6.3565	12.5	3	3	5	1.088	0.96	0.949	1.133	
Q6P5Z2	Serine/threonine-protein kinase N3	PKN3	99.419	4.7405	4.5	3	2	2	0.98	0.978	1.053	1.002	
Q6P996	Pyridoxal-dependent decarboxylase domain-containing protein 1	PDXDC1	86.706	51.678999999999995	14.5	10	10	17	0.9	1.119	1.024	0.804	1.51E-07
Q6P9B6	TLD domain-containing protein 1	TLDC1	50.993	3.4957	2.9	1	1	2	0.982	1.212	0.81	0.81	
Q6P9B9	Integrator complex subunit 5	INTS5	107.99	5.0932	1.7	2	2	2	1.075	0.99	0.932	1.086	3.74E-01
Q6PCB5	Round spermatid basic protein 1-like protein	RSBN1L	94.868	19.912	5.8	5	5	5					
Q6PCE3	Glucose 1,6-bisphosphate synthase	PGM2L1	70.441	4.5995	5.3	3	3	3					
Q6PD62	RNA polymerase-associated protein CTR9 homolog	CTR9	133.5	51.905	11.5	15	15	16	1.071	0.938	0.975	1.142	4.65E-02
Q6PD74	Alpha- and gamma-adaptin-binding protein p34	AAGAB	34.593	19.514	7.3	2	2	4	0.716	1.248	1.053	0.574	5.96E-03
Q6PEV8	Protein FAM199X	FAM199X	42.801	4.4702	3.9	1	1	1	1.017	0.931	1.059	1.092	
Q6PGP7	Tetratricopeptide repeat protein 37	TTC37	175.48	46.733000000000004	9.9	16	16	17	0.908	1.062	1.078	0.855	4.92E-03
Q6PI48	Aspartate--tRNA ligase, mitochondrial	DARS2	73.562	89.594	24.2	14	14	19	1.108	0.928	0.938	1.194	1.24E-04
Q6PI78	Transmembrane protein 65	TMEM65	25.498	7.7745	5.8	1	1	1					
Q6PIU2	Neutral cholesterol ester hydrolase 1	NCEH1	45.806999999999995	5.364	8.1	3	3	4	1.1	0.939	0.956	1.171	
Q6PIW4	Fidgetin-like protein 1	FIGNL1	74.07600000000001	20.121	7.3	4	3	3	0.946	0.985	1.084	0.96	2.90E-01
Q6PJ69	Tripartite motif-containing protein 65	TRIM65	57.353	8.1498	6.0	2	2	2	1.111	0.91	0.975	1.221	
Q6PJG2	ELM2 and SANT domain-containing protein 1	ELMSAN1	114.99	2.0218	0.9	1	1	1	1.176	0.959	0.85	1.226	
Q6PJG6	BRCA1-associated ATM activator 1	BRAT1	88.118	37.63	8.5	6	6	7	0.827	1.14	1.101	0.725	1.01E-04
Q6PJI9	WD repeat-containing protein 59	WDR59	109.79	9.086	2.6	2	2	2	0.991	0.9	1.121	1.101	
Q6PJT7	Zinc finger CCCH domain-containing protein 14	ZC3H14	82.875	38.825	10.9	6	6	8	1.089	0.963	0.97	1.131	9.91E-04
Q6PKG0	La-related protein 1	LARP1	123.51	74.47800000000001	14.7	12	12	14	0.883	1.048	1.047	0.843	1.07E-03
Q6PL18	ATPase family AAA domain-containing protein 2	ATAD2	158.55	91.193	18.1	23	21	23	1.008	0.809	1.167	1.246	1.88E-05
